precinct,HART Total Choices,HART Total Votes,HART Total Ballots,HART Total Voteops,TEVS Voteops Counted,TEVS Voteops Not Counted,TEVS Total Voteops,Voteops HART vs TEVS
1CS-1,60,14963,630,37800,15051,20357,35408,2392
1CS-2,60,15924,661,39660,15828,20916,36744,2916
1CS-3,60,15551,650,39000,15630,20804,36434,2566
1CS-4,60,17090,706,42360,17120,22400,39520,2840
1E-36,67,20216,737,49379,20269,27636,47905,1474
1E-43,67,18359,674,45158,18434,25376,43810,1348
1E-45,67,18848,697,46699,18950,26282,45232,1467
1E-55,67,13987,521,34907,14019,19798,33817,1090
1E-59,69,30,1,69,31,36,67,2
1ES-1,60,21248,883,52980,21223,28147,49370,3610
1F--1,66,22732,853,56298,22858,32528,55386,912
1F--7,64,446,17,1088,449,605,1054,34
1FS,62,16634,680,42160,16689,22691,39380,2780
1FS-1,60,3288,137,8220,3297,4375,7672,548
1FS-4,60,3811,157,9420,3529,4639,8168,1252
1FS-9,60,3491,148,8880,3498,4772,8270,610
1LU,60,14674,609,36540,14705,19399,34104,2436
1MU,62,3949,158,9796,3951,5119,9070,726
1MUF,62,3664,148,9176,3674,4890,8564,612
1RV-2,60,2498,105,6300,2535,3327,5862,438
1SB-1,62,26430,1059,65658,26535,34807,61342,4316
1SB-4,62,23436,944,58528,23523,31149,54672,3856
1SB10,62,20872,831,51522,20981,27255,48236,3286
1SB12,62,4379,175,10850,4402,5748,10150,700
1SU,60,9351,392,23520,9363,12589,21952,1568
2BV-1,60,5953,246,14760,5966,7810,13776,984
2CU,60,9262,387,23220,9311,12361,21672,1548
2F--2,64,20565,798,51072,20662,28702,49364,1708
2F--3,64,13705,538,34432,13724,19448,33172,1260
2F--4,64,18986,743,47552,19083,26983,46066,1486
2F-R1,64,23618,908,58112,23690,32424,56114,1998
2F-R2,64,17447,676,43264,17499,24345,41844,1420
2F-R3,64,16499,643,41152,16548,23200,39748,1404
2F-R4,64,16113,622,39808,16191,22371,38562,1246
2HV-1,60,16075,667,40020,16110,21224,37334,2686
2MR,62,656,27,1674,658,908,1566,108
2R--1,65,13583,514,33410,13787,18485,32272,1138
2R--2,65,16359,629,40885,16422,23161,39583,1302
2RV-1,60,5942,241,14460,5994,7614,13608,852
2SH-1,60,3558,149,8940,3570,4738,8308,632
2SH-2,60,2201,94,5640,2217,3051,5268,372
2SH-3,60,2936,121,7260,2951,3825,6776,484
2SH-4,60,13120,557,33420,13127,17929,31056,2364
2SH-5,60,18554,766,45960,18610,24254,42864,3096
2SH-7,60,1192,48,2880,1151,1441,2592,288
2SH-8,60,2910,124,7440,2916,4028,6944,496
2SHF1,60,3413,141,8460,3423,4455,7878,582
2SHR1,60,3891,162,9720,3918,5136,9054,666
2SHR2,60,3325,141,8460,3331,4547,7878,582
2SHS4,60,11155,466,27960,11185,14845,26030,1930
2SHS7,60,19245,812,48720,19241,26125,45366,3354
2SHVF,60,2479,106,6360,2490,3446,5936,424
3A--1,71,10932,405,28755,10934,17346,28280,475
3A--2,71,18149,647,45937,18171,27129,45300,637
3A--3,71,20285,724,51404,20380,30102,50482,922
3A--4,71,16031,580,41180,16076,24498,40574,606
3A--7,71,16402,581,41251,16444,24200,40644,607
3A--9,71,21313,747,53037,21388,30812,52200,837
3A-10,71,22711,809,57439,22785,33705,56490,949
3A-11,71,23278,837,59427,23306,35154,58460,967
3A-12,71,12455,470,33370,12507,20367,32874,496
3A-13,71,25057,910,64610,25069,38393,63462,1148
3A-J1,69,16560,593,40917,16613,23615,40228,689
3A-P2,67,21409,815,54605,21460,32224,53684,921
3A-P4,67,22253,839,56213,21822,32412,54234,1979
3AS-1,64,3574,142,9088,3637,5025,8662,426
3AS-9,64,2843,112,7168,2854,3844,6698,470
3B--1,64,16989,677,43328,17023,23441,40464,2864
3ES-6,60,10379,431,25860,10409,13655,24064,1796
3FW,60,19026,796,47760,17840,23886,41726,6034
3FWS,60,18905,786,47160,18887,25033,43920,3240
3JCFR,62,12992,520,32240,13026,17194,30220,2020
3JCWR,62,16286,653,40486,16326,21526,37852,2634
3KL,60,1187,52,3120,1194,1700,2894,226
3KL-1,60,4101,170,10200,4097,5331,9428,772
3MA-1,64,9871,385,24640,8877,11898,20775,3865
3PA-1,60,16006,669,40140,16287,21647,37934,2206
3PESF,60,272,12,720,273,399,672,48
4E-11,67,15214,565,37855,15265,21323,36588,1267
4E-12,67,12818,469,31423,12894,17519,30413,1010
4E-13,67,11680,432,28944,11724,16356,28080,864
4E-14,67,18734,679,45493,18792,25232,44024,1469
4E-21,67,12857,468,31356,12997,17618,30615,741
4E-22,67,14571,533,35711,14583,19926,34509,1202
4E-23,67,12838,470,31490,12885,17617,30502,988
4E-24,67,13230,483,32361,13263,18043,31306,1055
4E-25,67,19234,700,46900,19284,26135,45419,1481
4E-31,67,11706,429,28743,11758,16046,27804,939
4E-32,67,12284,449,30083,12304,16871,29175,908
4E-33,67,13500,502,33634,13559,19016,32575,1059
4E-34,67,16695,602,40334,16800,22301,39101,1233
4E-51,67,12822,464,31088,12863,17321,30184,904
4E-52,67,9203,337,22579,9158,12699,21857,722
4E-54,67,21265,771,51657,21220,28617,49837,1820
4ES-4,60,14486,603,36180,14594,19288,33882,2298
4ES-5,60,17746,744,44640,17529,23431,40960,3680
4ES-6,60,15269,633,37980,15304,20074,35378,2602
4PEF,60,3281,139,8340,3288,4460,7748,592
5AS-4,64,3197,121,7744,3204,4056,7260,484
5BL,60,15036,626,37560,15064,19956,35020,2540
5FB,60,13107,542,32520,13168,17148,30316,2204
5GP,60,2272,93,5580,2277,2893,5170,410
5KT-1,60,1630,69,4140,1633,2231,3864,276
5KT-3,60,2936,124,7440,2947,3979,6926,514
5KT-4,60,11386,485,29100,11394,15712,27106,1994
5KT-6,60,18616,788,47280,18669,25465,44134,3146
5KTS3,60,2516,103,6180,2525,3225,5750,430
5MC,60,582,25,1500,584,778,1362,138
5MK-1,60,19935,831,49860,19970,26400,46370,3490
5MK-2,60,18027,755,45300,18022,24008,42030,3270
5MK-3,60,13228,557,33420,13273,17883,31156,2264
5MK-4,60,20584,860,51600,20637,27487,48124,3476
5MK-4A,60,13391,558,33480,13436,17812,31248,2232
5MK-5,60,18118,755,45300,18142,24018,42160,3140
5MK-5A,60,16809,697,41820,16855,22159,39014,2806
5MK-6,60,16776,704,42240,16798,22626,39424,2816
5MK-6A,60,12157,507,30420,12167,16099,28266,2154
5MK-7,60,14072,580,34800,14064,18350,32414,2386
5MK-8,60,17156,715,42900,17167,22747,39914,2986
5OR,60,3044,125,7500,3046,3936,6982,518
5PA-3,60,2295,94,5640,2303,2961,5264,376
5T--1,64,5766,220,14080,5808,7788,13596,484
5TU-1,60,16808,702,42120,16618,22088,38706,3414
5TU-4,60,14587,614,36840,14414,19434,33848,2992
