contest_tevs,choice_tevs,hart,tevs,hart_ops,tevs_ops,tevs_less_hart,ops_tevs_less_hart,pct
ARCATA_CC,DANIEL_MURPHY,1709,1715,8957,26853,6,17896,   0.35%
ARCATA_CC,MICHAEL_WINKLER,4141,4148,8957,26853,7,17896,   0.17%
ARCATA_CC,PAUL_PITINO,3949,3953,8957,26853,4,17896,   0.10%
ARCATA_CC,SUSAN_ORNELAS,4755,4758,8957,26853,3,17896,   0.06%
ARCATA_CC,VALERIE_ROSE-CAMPBELL,2018,2021,8957,26853,3,17896,   0.15%
ARCATA_CC,Write_in,202,205,8957,80559,3,71602,   1.49%
BL_CC,ADELENE_NONES,437,436,677,2025,-1,1348,  -0.23%
BL_CC,Write_in,471,466,677,6075,-5,5398,  -1.06%
EKA_CC,AUSTIN_ALLISON,5414,5412,10983,10982,-2,-1,  -0.04%
EKA_CC,HEIDI_S_MESSNER,6921,6926,10983,10982,5,-1,   0.07%
EKA_CC,JOHN_B_FULLERTON,4377,4382,10983,10982,5,-1,   0.11%
EKA_CC,Write_in,509,515,10983,21964,6,10981,   1.18%
FERN_CC,DANIEL_BROWN,499,499,853,1704,0,851,   0.00%
FERN_CC,PATRICK_O_ROURKE,466,465,853,1704,-1,851,  -0.21%
FERN_CC,Write_in,52,56,853,3408,4,2555,   7.69%
FERN_MAYOR,DON_HINDLEY,569,569,853,852,0,-1,   0.00%
FERN_MAYOR,STEVE_NUNES,207,208,853,852,1,-1,   0.48%
FERN_MAYOR,Write_in,15,15,853,852,0,-1,   0.00%
FORT_CC,DEAN_J_GLASER,2792,2790,4945,9890,-2,4945,  -0.07%
FORT_CC,TAMI_TRENT,2568,2566,4945,9890,-2,4945,  -0.08%
FORT_CC,Write_in,220,223,4945,19780,3,14835,   1.36%
