"003126.jpg: not voted, overvoted",'NO
"003132.jpg: not voted, overvoted",'SKEW
"003268.jpg: not voted, overvoted",'SKEW
"003306.jpg: not voted, overvoted",'SKEW
"001734.jpg: not voted, overvoted",'SKEW?
"001744.jpg: not voted, overvoted",'NOT CLEAR WHY
"001042.jpg: not voted, overvoted",'NOT CLEAR WHY
"003010.jpg: not voted, overvoted",'SKEW
"003024.jpg: not voted, overvoted",'SKEW
"004232.jpg: not voted, overvoted",'NOT CLEAR
"003034.jpg: not voted, overvoted",'SKEW
"003054.jpg: not voted, overvoted",'SKEW
"003060.jpg: not voted, overvoted",'SKEW
"003064.jpg: not voted, overvoted",'SKEW
"003116.jpg: not voted, overvoted",'SKEW
"005512.jpg: was voted, not ovrvot",'OK
"000090.jpg: was voted, not ovrvot",'OK
"000238.jpg: was voted, not ovrvot",'OK
"001156.jpg: was voted, not ovrvot",'OK
"002184.jpg: was voted, not ovrvot",'OK
"003466.jpg: was voted, not ovrvot",'OK
"003648.jpg: was voted, not ovrvot",'OK
"003684.jpg: was voted, not ovrvot",'OK
"003736.jpg: was voted, not ovrvot",'OK
"003940.jpg: was voted, not ovrvot",'OK
"004500.jpg: was voted, not ovrvot",'OK
"004510.jpg: was voted, not ovrvot",'OK
"004550.jpg: was voted, not ovrvot",'OK
"004646.jpg: was voted, not ovrvot",'OK
"000062.jpg: was voted, not ovrvot",'OK
